gene	EEP	MEP	LEP	ESP	LSP	gap	25&deg;C	gap	Cold shock (15&deg;C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
STnc1920	91	75	134	206	123		66		61	137	105	148	113	74	202		130	105		189	138	193	112	270		STnc1920		sRNA	2756549	2756646	+			SL1344_STnc1920
IsrI	20	11	32	31	31		26		39	7	10	37	12	15	25		31	38		16	36	78	22	67		IsrI		sRNA	2759018	2759265	-			SL1344_IsrI
STnc2080	326	322	696	1,686	8,801		277		421	467	407	633	312	364	762		1,015	574		833	2,081	4,279	1,738	1,992		STnc2080		sRNA	2759410	2759518	-			SL1344_STnc2080
IsrJ	555	542	501	394	1,617		330		452	489	690	1,539	461	666	707		597	818		504	491	844	1,398	976		IsrJ		sRNA	2759646	2759717	-			SL1344_IsrJ
STnc1160	3,574	4,283	3,108	9,763	35,063		3,177		1,268	4,475	4,953	5,347	402	6,466	4,979		6,467	5,695		9,900	13,195	7,649	9,432	6,988		STnc1160		sRNA	2760372	2760451	-			SL1344_STnc1160
IsrK	753	962	763	677	228		543		1,100	559	1,032	953	252	1,478	571		524	995		807	1,468	650	394	765		IsrK		sRNA	2760480	2760556	-			SL1344_IsrK
STnc1390	958	2,465	1,511	4,071	1,462		1,382		1,683	2,720	2,452	3,150	323	2,774	2,483		2,335	2,226		2,234	1,604	1,651	4,309	3,452		STnc1390		sRNA	2767704	2767767	+			SL1344_STnc1390
STnc1400	599	1,566	1,125	1,191	52		728		1,221	2,442	1,578	1,035	97	1,665	825		866	782		967	1,314	1,012	1,281	908		STnc1400		sRNA	2770951	2771060	-			SL1344_STnc1400
STnc3160	39	70	244	141	545		63		96	52	79	81	90	103	288		199	102		75	81	73	31	191		STnc3160		sRNA	2807810	2807900	-			SL1344_STnc3160
STnc2090	17	110	322	2,639	3,170		76		116	149	44	451	444	367	34,779		15,431	292		216	377	641	4,080	1,367		STnc2090		sRNA	2808306	2808464	+			SL1344_STnc2090
sRNA3	318	393	435	720	175		588		2,462	1,974	420	1,362	623	599	768		674	533		920	860	849	931	2,084		sRNA3		sRNA	2808504	2808645	+			SL1344_sRNA3
STnc3790	20	8	17	16	15		13		42	26	5	43	19	11	46		40	26		19	19	26	101	77		STnc3790		sRNA	2810663	2810737	+			SL1344_STnc3790
STnc3800	108	127	118	80	174		72		100	121	201	273	144	192	218		108	122		103	146	276	341	265		STnc3800		sRNA	2824672	2825000	-			SL1344_STnc3800
STnc4230	162	220	196	125	26		479		229	515	279	88	228	268	81		160	176		205	190	146	71	200		STnc4230		sRNA	2831934	2832038	+			SL1344_STnc4230
IsrL	17	8	20	16	2		3		11	10	14	11	21	14	17		17	17		17	13	10	8	17		IsrL		sRNA	2850244	2850588	-			SL1344_IsrL
STnc3070	112	190	124	363	375		102		86	655	162	563	341	323	962		384	170		173	183	317	738	575		STnc3070		sRNA	2851166	2851225	-			SL1344_STnc3070
IsrM	3	1	2	1	0		2		3	1	0	4	1	3	6		4	2		2	1	5	1	3		IsrM		sRNA	2927616	2927944	+			SL1344_IsrM
IsrN	0	0	1	0	0		1		1	0	0	1	1	0	0		1	1		0	0	0	0	0		IsrN		sRNA	2929501	2929643	+			SL1344_IsrN
STnc3080	18	27	3	0	48		5		29	38	16	49	117	549	19		6	5		12	1	2	135	31		STnc3080		sRNA	2974260	2974404	-			SL1344_STnc3080
MicA	752	754	345	1,078	18,120		599		14,612	1,872	772	11,798	643	542	4,489		12,373	617		370	1,389	29,599	3,861	3,135		sraD		sRNA	2989429	2989502	+			SL1344_MicA
C0664	1	0	1	0	0		3		0	0	3	2	0	1	4		2	1		2	2	1	0	87		C0664		sRNA	3010214	3010321	+			SL1344_C0664
STnc4240	469	355	293	90	26		654		581	536	280	485	312	426	239		149	193		256	86	54	12	155		STnc4240		sRNA	3037101	3037394	+			SL1344_STnc4240
STnc3020	9	16	8	10	8		8		19	10	9	39	5	17	26		12	5		17	321	312	95	75		STnc3020		sRNA	3038687	3038786	+			SL1344_STnc3020
STnc1410	49	48	56	50	216		68		104	112	33	180	49	65	101		83	53		56	38	67	101	126		STnc1410		sRNA	3048830	3049012	+			SL1344_STnc1410
InvR	794	1,005	9,616	36,416	11,480		917		1,074	1,824	1,012	1,882	1,167	1,084	1,171		12,351	19,069		2,006	301	500	1,567	2,045		InvR	STnc270	sRNA	3067500	3067579	+			SL1344_InvR
STnc3140	112	57	53	93	214		50		66	59	297	311	64	71	47		20	58		3,106	1,201	1,261	113	288		STnc3140		sRNA	3109885	3109981	-			SL1344_STnc3140
CsrB	4,260	7,093	7,296	8,211	814		8,588		5,253	6,973	1,691	3,751	3,577	7,964	10,762		9,476	5,380		4,609	729	1,483	3,108	4,120		CsrB		sRNA	3138160	3138522	-			SL1344_CsrB
GcvB	14,905	25,850	15,800	6,382	97		27,471		15,008	27,484	18,689	3,835	41,397	14,085	22,539		35,321	20,045		50	41	483	392	188		IS145		sRNA	3156779	3156979	+			SL1344_GcvB
STnc3830	52	46	57	66	78		84		65	198	53	249	77	55	195		34	44		45	27	56	259	110		STnc3830		sRNA	3186446	3186537	-			SL1344_STnc3830
OmrA	476	501	864	651	1,914		750		572	1,048	2,104	1,501	1,457	1,006	1,403		1,255	504		160	834	1,595	953	545		rygB		sRNA	3191584	3191670	-			SL1344_OmrA
OmrB	1,720	1,949	3,140	1,019	405		2,228		2,618	3,051	8,307	5,476	4,768	4,221	4,890		1,731	856		255	2,934	4,781	3,477	1,657		t59, rygA, sraE		sRNA	3191785	3191870	-			SL1344_OmrB
STnc290	300	403	881	1,579	868		166		599	773	346	853	311	451	999		636	358		1,071	504	924	1,648	1,742		STnc290		sRNA	3215639	3215717	-			SL1344_STnc290
IsrO	74	60	56	34	35		60		141	107	48	129	67	74	68		49	64		29	32	72	26	48		IsrO		sRNA	3219100	3219300	+			SL1344_IsrO
SsrS	19,711	38,335	36,247	64,900	103,519		24,674		14,421	39,179	38,374	55,093	1,900	39,515	75,257		66,217	42,346		34,288	52,693	46,479	49,451	46,086		6S		sRNA	3242594	3243000	+			SL1344_SsrS
RygC	1,713	2,774	4,024	6,261	4,403		651		1,002	3,769	2,497	1,481	376	3,636	1,960		4,333	6,638		6,101	7,066	5,719	2,599	5,219		t27, SibC, QUAD1c		sRNA	3243669	3243813	+			SL1344_RygC
STnc3030	58	54	157	90	23		110		209	265	27	47	175	54	126		44	30		59	48	37	19	32		STnc3030		sRNA	3250106	3250210	+			SL1344_STnc3030
STnc750	504	720	683	476	744		633		706	434	560	347	691	591	551		525	609		217	335	389	307	470		sRNA8		sRNA	3261185	3261273	-			SL1344_STnc750
STnc3150	13	39	10	14	6		35		67	50	25	108	74	77	69		19	20		19	32	134	28	76		STnc3150		sRNA	3273499	3273824	-			SL1344_STnc3150
STnc3850	43	47	55	39	5		105		60	69	66	27	57	82	73		31	28		32	35	29	19	40		STnc3850		sRNA	3275931	3276099	-			SL1344_STnc3850
STnc3860	17	18	13	34	70		9		17	160	11	30	24	26	40		30	20		9	14	13	36	25		STnc3860		sRNA	3283748	3283844	-			SL1344_STnc3860
STnc3870	6	22	23	48	64		25		27	15	12	87	21	15	94		79	46		55	58	36	137	137		STnc3870		sRNA	3296886	3297024	-			SL1344_STnc3870
STnc3880	6	12	113	106	34		8		43	68	10	60	33	22	18		14	30		50	36	155	77	200		STnc3880		sRNA	3305410	3305515	+			SL1344_STnc3880
STnc1170	9	6	27	186	15		3		26	12	10	33	11	17	380		548	49		14	18	11	5	32		STnc1170		sRNA	3312429	3312525	-			SL1344_STnc1170
STnc3890	101	92	135	250	216		113		240	223	189	481	45	210	100		127	153		208	152	166	564	946		STnc3890		sRNA	3322951	3323033	+			SL1344_STnc3890
STnc1820	274	207	176	115	205		244		504	272	399	739	105	266	289		235	177		114	148	133	536	217		STnc1820		sRNA	3349037	3349187	-			SL1344_STnc1820
STnc3920	1	1	0	2	602		1		2	0	3	9	1	3	1		1	2		0	1	3	5	2		STnc3920		sRNA	3349508	3349727	+			SL1344_STnc3920
SroG	565	639	462	299	10		822		818	490	700	472	477	714	587		591	310		506	644	401	191	266		SroG		sRNA	3379312	3379412	-			SL1344_SroG
STnc1420	43	140	153	155	51		70		125	273	172	86	42	89	278		187	62		104	97	113	201	150		STnc1420		sRNA	3382981	3383131	+			SL1344_STnc1420
RygD	2,168	2,975	3,551	7,784	4,245		856		1,277	4,197	2,418	3,582	393	4,656	4,630		6,747	6,410		7,089	6,692	4,684	5,743	5,897		tp8, SibD, C0730		sRNA	3383000	3383144	-			SL1344_RygD
SraF	1,199	1,210	1,959	1,697	467		1,515		8,204	1,106	961	3,072	371	1,402	472		454	1,433		1,853	317	708	233	1,157		tpk1, IS160, PRE-element		sRNA	3412774	3412961	+			SL1344_SraF
STnc310	15	16	75	24	71		18		133	30	44	154	25	26	7		2	69		13	16	49	128	245		STnc310		sRNA	3413972	3414032	-			SL1344_STnc310
SraG	2,112	1,525	1,397	920	132		2,469		2,394	2,190	1,834	1,137	1,843	1,748	859		940	1,039		1,497	1,036	851	380	1,398		SraG		sRNA	3472142	3472312	-			SL1344_SraG
STnc3950	44	59	31	28	25		23		70	53	69	68	24	65	87		55	43		24	20	46	56	79		STnc3950		sRNA	3480987	3481116	-			SL1344_STnc3950
STnc1660	223	246	250	164	20		234		476	161	145	394	148	199	129		120	254		280	109	62	35	60		STnc1660		sRNA	3489125	3489247	-			SL1344_STnc1660
STnc3960	24	40	47	31	55		30		89	41	50	61	23	58	90		92	65		47	32	77	73	109		STnc3960		sRNA	3491490	3491592	+			SL1344_STnc3960
STnc3970	95	194	117	164	33		48		170	210	276	154	30	246	332		237	115		105	106	269	400	516		STnc3970		sRNA	3507628	3507677	-			SL1344_STnc3970
ArcZ	3,735	4,073	21,597	36,782	60,867		6,120		6,459	8,425	3,548	10,422	16,663	6,619	12,035		12,396	7,792		16,243	15,245	16,240	18,429	22,722		SraH, ryhA		sRNA	3511800	3511917	+			SL1344_ArcZ
STnc3060	54	61	44	52	9		63		68	114	84	339	137	149	94		78	63		97	53	85	86	134		STnc3060		sRNA	3533708	3533783	+			SL1344_STnc3060
STnc3050	21	41	36	125	63		14		15	47	49	77	9	38	69		67	53		91	185	169	147	91		STnc3050		sRNA	3543529	3543654	-			SL1344_STnc3050
STnc2100	32	26	9	14	4		62		43	26	107	57	15	13	18		23	21		24	26	110	40	109		STnc2100		sRNA	3550903	3550965	+			SL1344_STnc2100
STnc3990	69	58	63	54	25		59		68	77	82	135	105	83	70		67	82		51	59	110	57	128		STnc3990		sRNA	3587262	3587429	-			SL1344_STnc3990
STnc1670	3	2	19	106	9		1		4	143	1	17	41	1	423		166	5		5	3	13	59	15		STnc1670		sRNA	3593794	3593896	+			SL1344_STnc1670
STnc4000	48	44	11	12	195		14		36	63	56	81	139	240	7		7	31		34	7	30	280	58		STnc4000		sRNA	3619657	3619755	+			SL1344_STnc4000
STnc1590	1,383	1,787	1,577	1,794	880		1,777		1,836	2,202	2,470	3,937	810	2,504	2,384		1,959	1,651		2,098	1,625	1,227	1,043	2,235		STnc1590		sRNA	3633247	3633424	-			SL1344_STnc1590
STnc340	32	20	28	21	45		37		64	27	50	64	16	29	22		15	13		17	14	31	23	24		STnc340		sRNA	3657275	3657403	-			SL1344_STnc340
STnc760	59	81	151	182	27		68		46	109	104	184	158	111	143		154	220		260	1,723	2,597	3,691	3,387		STnc760		sRNA	3684975	3685117	-			SL1344_STnc760
STnc4010	3	3	11	14	70		3		0	4	4	86	5	8	17		25	33		5	10	34	19	31		STnc4010		sRNA	3729767	3729899	+			SL1344_STnc4010
RyhB-1	207	125	36	38	3,683		64		316	404	114	52	1,127	20,623	57		26	29		104	30	28	17,163	897		SraI, IS176, RfrA		sRNA	3736723	3736818	-			SL1344_RyhB-1
STnc1830	9	7	18	15	13		6		11	15	12	67	7	15	17		16	18		36	48	60	66	143		STnc1830		sRNA	3739679	3739898	-			SL1344_STnc1830
sRNA12	0	3	8	12	48		7		3	2	3	17	3	10	21		11	20		4	10	39	11	35		sRNA12		sRNA	3755045	3755125	-			SL1344_sRNA12
STnc770	240	205	316	483	175		147		404	452	203	706	315	208	929		758	296		207	198	189	351	288		sRNA6		sRNA	3778181	3778333	-			SL1344_STnc770
STnc350	124	103	102	92	21		94		115	226	128	252	142	149	315		178	112		9	16	88	38	42		STnc350		sRNA	3782696	3782857	-			SL1344_STnc350
STnc4020	57	95	109	40	3		79		156	157	169	89	65	204	121		71	72		48	101	43	16	151		STnc4020		sRNA	3801175	3801266	+			SL1344_STnc4020
STnc710	6,000	11,111	14,501	13,621	9,204		9,734		14,400	19,726	21,170	17,445	687	11,797	14,277		18,288	12,994		11,319	6,813	22,865	6,915	25,170		STnc710		sRNA	3829661	3829728	+			SL1344_STnc710
STnc1430	164	351	462	663	75		140		177	236	260	200	202	355	751		555	336		262	308	175	360	254		STM3624.1N		sRNA	3829428	3829797	-			SL1344_STnc1430
STnc780	206	222	180	154	49		233		254	263	214	646	252	162	156		108	117		179	108	128	113	275		STnc780		sRNA	3858666	3858993	-			SL1344_STnc780
STnc380	48	20	13	10	19		27		56	82	34	134	22	23	11		29	155		25	72	313	194	107		STnc380		sRNA	3906945	3907052	-			SL1344_STnc380
AmgR	1	3	3	4	6		2		2	2	5	18	2	3	3		3	4		3	5	15	5	9		AmgR		sRNA	3985660	3986859	+			SL1344_AmgR
STnc4040	27	59	59	81	27		28		25	61	53	65	79	56	423		58	48		83	88	120	22	131		STnc4040		sRNA	3993822	3993945	-			SL1344_STnc4040
IstR-1,2	272	179	175	151	298		213		402	399	240	617	51	183	185		316	194		170	132	553	951	535		IstR-1,2	IstR-1_2	sRNA	4019329	4019460	-			SL1344_IstR-1_2
IstR-1_2	272	179	175	151	298		213		402	399	240	617	51	183	185		316	194		170	132	553	951	535		IstR-1,2	IstR-1_2	sRNA	4019329	4019460	-			SL1344_IstR-1_2
STnc2110	51	112	17	34	6		29		233	34	48	874	121	270	30		28	63		56	84	42	61	575		STnc2110		sRNA	4030646	4030702	-			SL1344_STnc2110
STnc4250	406	458	374	120	14		407		819	474	590	89	346	376	186		134	235		304	279	63	126	75		STnc4250		sRNA	4069297	4069429	+			SL1344_STnc4250
STnc3170	5	4	9	43	13		6		13	7	6	19	27	7	32		19	20		24	54	418	188	49		STnc3170		sRNA	4070923	4071038	-			SL1344_STnc3170
STnc400	18,718	32,138	93,147	103,756	150,462		97,421		43,722	72,055	58,392	29,066	8,584	52,891	86,608		198,776	126,781		37,659	46,424	26,149	102,432	129,765		STnc400		sRNA	4072457	4072530	+			SL1344_STnc400
STnc1860	97	549	364	618	137		367		364	815	540	675	41	648	789		275	472		178	688	709	489	374		STnc1860		sRNA	4081219	4081303	-			SL1344_STnc1860
GlmZ	3,743	4,658	5,086	1,754	534		3,129		4,247	4,507	3,957	2,482	1,948	3,994	2,202		4,154	3,944		3,728	6,805	10,727	2,856	2,463		k19, ryiA, SraJ		sRNA	4163193	4163400	+			SL1344_GlmZ
STnc790	16	73	600	194	267		6		38	82	35	201	52	57	67		18	56		48	34	21	79	66		STnc790		sRNA	4209486	4209681	-			SL1344_STnc790
Spf	18,945	15,166	1,139	699	417		25,270		19,198	15,871	21,887	14,187	13,841	14,504	3,874		3,781	8,613		15,154	21,836	17,141	26,038	27,532		Spot, 42		sRNA	4230505	4230614	+			SL1344_Spf
CsrC	5,135	4,072	10,573	15,547	3,415		2,633		4,192	5,330	1,606	3,309	8,111	4,263	8,241		10,959	7,259		6,323	1,830	2,740	2,978	3,526		SraK, RyiB, tpk2		sRNA	4231596	4231839	+			SL1344_CsrC
STnc800	235	1,164	242	208	5		686		878	1,242	190	435	870	738	647		143	273		1,583	2,658	184	3,245	2,519		STnc800		sRNA	4236852	4237036	-			SL1344_STnc800
STnc3120	29	21	71	68	281		15		26	39	37	246	41	50	90		69	109		28	40	121	125	175		STnc3120		sRNA	4249943	4250101	+			SL1344_STnc3120
STnc870	807	1,127	1,767	4,524	14,408		997		995	966	336	3,864	995	654	452		753	2,010		1,998	45	45	64	60		STnc870		sRNA	4292541	4292598	+			SL1344_STnc870
IsrP	64	45	67	26	5		53		102	60	37	39	58	64	17		25	37		59	53	57	20	28		IsrP		sRNA	4328158	4328305	+			SL1344_IsrP
STnc4070	29	33	34	32	7		24		48	74	49	69	27	52	136		74	32		12	9	19	55	118		STnc4070		sRNA	4334758	4334856	-			SL1344_STnc4070
STnc4080	6	7	5	3	46		12		17	12	12	7	4	9	7		9	7		27	25	33	446	23		STnc4080		sRNA	4339806	4339930	-			SL1344_STnc4080
STnc1600	45	44	113	205	37		51		94	134	67	87	153	71	317		135	69		105	77	164	136	216		STnc1600		sRNA	4356617	4356687	+			SL1344_STnc1600
OxyS	93	111	68	42	75		52		122	154	564	136	2,132	116	122		1,265	3,803		43	77	55	21,615	445		OxyS		sRNA	4364306	4364424	-			SL1344_OxyS
STnc3490	119	36	40	18	23		50		89	46	67	311	34	55	52		25	63		49	36	29	89	70		STnc3490		sRNA	4395604	4395692	-			SL1344_STnc3490
STnc1460	2,138	8,430	5,589	5,541	143		2,696		4,045	4,379	8,229	6,495	327	6,883	5,307		2,316	2,525		5,784	5,433	3,627	5,512	3,087		STnc1460		sRNA	4403811	4404050	-			SL1344_STnc1460
STnc4100	61	44	59	82	15		102		62	96	65	39	21	68	92		109	69		57	69	120	69	168		STnc4100		sRNA	4448721	4448838	+			SL1344_STnc4100
STnc810	14	422	240	392	14		61		355	405	69	149	225	184	1,845		48	14		56	27	22	36	54		STnc2120		sRNA	4467935	4467989	-			SL1344_STnc810
STnc2130	72	887	1,154	1,184	374		316		926	639	1,038	461	146	723	3,848		2,879	1,218		211	449	533	511	492		STnc2130		sRNA	4475778	4475868	+			SL1344_STnc2130
STnc880	1,019	1,284	5,330	2,791	3,109		9,308		2,950	5,284	446	395	3,264	1,028	1,103		1,262	1,115		1,190	397	198	242	446		STnc880		sRNA	4486746	4486824	+			SL1344_STnc880
SraL	10	22	141	532	2,159		12		9	27	10	391	17	54	229		808	366		64	658	3,331	665	704		ryjA		sRNA	4526163	4526303	-			SL1344_SraL
STnc630	728	914	1,022	676	170		986		1,473	2,353	1,643	3,214	1,481	845	514		1,344	1,391		1,565	11,016	14,181	35,865	9,699		STnc2140		sRNA	4553814	4553973	+			SL1344_STnc630
STnc1180	24	23	48	57	24		15		15	21	14	32	44	20	38		389	133		32	21	48	59	64		STnc1180		sRNA	4559884	4559978	-			SL1344_STnc1180
STnc4110	9	27	47	60	73		17		22	25	31	121	36	41	115		51	27		43	27	26	215	86		STnc4110		sRNA	4562398	4562462	+			SL1344_STnc4110
STnc440	289	386	2,026	5,082	2,254		459		505	890	2,387	2,421	1,202	409	1,008		3,149	2,368		910	27,374	36,465	18,467	3,194		STnc440		sRNA	4580486	4580566	+			SL1344_STnc440
STnc3000	19	22	41	37	13		30		90	47	58	194	4	88	8		12	42		51	28	58	163	164		STnc3000		sRNA	4591419	4591506	+			SL1344_STnc3000
STnc4120	86	85	109	87	118		81		87	96	96	136	154	112	169		90	65		68	89	170	127	172		STnc4120		sRNA	4650288	4650411	-			SL1344_STnc4120
STnc1740	113	115	75	42	19		228		126	233	135	102	217	149	213		103	66		59	47	53	32	88		STnc1740		sRNA	4683334	4683513	-			SL1344_STnc1740
STnc2160	2	32	61	109	9		13		42	31	19	64	35	11	383		103	25		32	39	31	57	85		STnc2160		sRNA	4683637	4683700	-			SL1344_STnc2160
IsrQ	1	1	3	0	0		2		2	1	1	0	1	4	0		1	1		2	0	0	0	1		IsrQ		sRNA	4783575	4783742	+			SL1344_IsrQ
STnc4260	31	16	49	25	31		4		57	61	50	599	32	35	8		14	73		32	22	34	178	145		STnc4260		sRNA	4791125	4791218	+			SL1344_STnc4260
STnc4130	28	49	73	122	74		35		123	129	100	310	20	84	190		168	71		144	51	121	346	233		STnc4130		sRNA	4796789	4796864	-			SL1344_STnc4130
STnc1470	1,717	3,217	2,178	3,916	3,375		2,538		805	1,183	2,798	10,519	90	3,194	3,378		3,544	3,022		5,312	4,538	2,174	7,569	5,733		STnc1470		sRNA	4797958	4798032	+			SL1344_STnc1470
STnc4140	70	162	180	226	270		51		123	124	139	134	72	176	513		266	103		86	92	176	220	387		STnc4140		sRNA	4846459	4846541	-			SL1344_STnc4140
